Year,AgeGrp,Scenario,BMI,Indicator,medval,lowval,highval,combined
2015,"[0,99]",Energy Price Shock,Mild thinness,TB incidence rate,273.7370385,254.6417177,293.9259062,"273.7 (254.6, 293.9)"
2015,"[0,99]",Energy Price Shock,Moderate to severe thinness,TB incidence rate,375.6096721,342.7680398,406.2044032,"375.6 (342.8, 406.2)"
2015,"[0,99]",Energy Price Shock,Normal BMI,TB incidence rate,185.3341571,172.2702616,199.0248655,"185.3 (172.3, 199)"
2015,"[0,99]",Energy Price Shock,Overweight BMI,TB incidence rate,53.33326307,47.71941005,61.17369902,"53.3 (47.7, 61.2)"
2015,"[0,99]",Export and Energy Shocks,Mild thinness,TB incidence rate,273.7370385,254.6417177,293.9259062,"273.7 (254.6, 293.9)"
2015,"[0,99]",Export and Energy Shocks,Moderate to severe thinness,TB incidence rate,375.6096721,342.7680398,406.2044032,"375.6 (342.8, 406.2)"
2015,"[0,99]",Export and Energy Shocks,Normal BMI,TB incidence rate,185.3341571,172.2702616,199.0248655,"185.3 (172.3, 199)"
2015,"[0,99]",Export and Energy Shocks,Overweight BMI,TB incidence rate,53.33326307,47.71941005,61.17369902,"53.3 (47.7, 61.2)"
2015,"[0,99]",Export Restriction Shock,Mild thinness,TB incidence rate,273.7370385,254.6417177,293.9259062,"273.7 (254.6, 293.9)"
2015,"[0,99]",Export Restriction Shock,Moderate to severe thinness,TB incidence rate,375.6096721,342.7680398,406.2044032,"375.6 (342.8, 406.2)"
2015,"[0,99]",Export Restriction Shock,Normal BMI,TB incidence rate,185.3341571,172.2702616,199.0248655,"185.3 (172.3, 199)"
2015,"[0,99]",Export Restriction Shock,Overweight BMI,TB incidence rate,53.33326307,47.71941005,61.17369902,"53.3 (47.7, 61.2)"
2015,"[0,99]",No Shocks,Mild thinness,TB incidence rate,273.7370385,254.6417177,293.9259062,"273.7 (254.6, 293.9)"
2015,"[0,99]",No Shocks,Moderate to severe thinness,TB incidence rate,375.6096721,342.7680398,406.2044032,"375.6 (342.8, 406.2)"
2015,"[0,99]",No Shocks,Normal BMI,TB incidence rate,185.3341571,172.2702616,199.0248655,"185.3 (172.3, 199)"
2015,"[0,99]",No Shocks,Overweight BMI,TB incidence rate,53.33326307,47.71941005,61.17369902,"53.3 (47.7, 61.2)"
2015,"[0,99]",Energy Price Shock,Mild thinness,Number of TB cases,510.8984693,475.249412,548.5652645,"510.9 (475.2, 548.6)"
2015,"[0,99]",Energy Price Shock,Moderate to severe thinness,Number of TB cases,507.1290331,462.8108574,548.4085785,"507.1 (462.8, 548.4)"
2015,"[0,99]",Energy Price Shock,Normal BMI,Number of TB cases,1494.018119,1388.722227,1604.351148,"1494 (1388.7, 1604.4)"
2015,"[0,99]",Energy Price Shock,Overweight BMI,Number of TB cases,96.89278877,86.69254288,111.1376326,"96.9 (86.7, 111.1)"
2015,"[0,99]",Export and Energy Shocks,Mild thinness,Number of TB cases,510.8984693,475.249412,548.5652645,"510.9 (475.2, 548.6)"
2015,"[0,99]",Export and Energy Shocks,Moderate to severe thinness,Number of TB cases,507.1290331,462.8108574,548.4085785,"507.1 (462.8, 548.4)"
2015,"[0,99]",Export and Energy Shocks,Normal BMI,Number of TB cases,1494.018119,1388.722227,1604.351148,"1494 (1388.7, 1604.4)"
2015,"[0,99]",Export and Energy Shocks,Overweight BMI,Number of TB cases,96.89278877,86.69254288,111.1376326,"96.9 (86.7, 111.1)"
2015,"[0,99]",Export Restriction Shock,Mild thinness,Number of TB cases,510.8984693,475.249412,548.5652645,"510.9 (475.2, 548.6)"
2015,"[0,99]",Export Restriction Shock,Moderate to severe thinness,Number of TB cases,507.1290331,462.8108574,548.4085785,"507.1 (462.8, 548.4)"
2015,"[0,99]",Export Restriction Shock,Normal BMI,Number of TB cases,1494.018119,1388.722227,1604.351148,"1494 (1388.7, 1604.4)"
2015,"[0,99]",Export Restriction Shock,Overweight BMI,Number of TB cases,96.89278877,86.69254288,111.1376326,"96.9 (86.7, 111.1)"
2015,"[0,99]",No Shocks,Mild thinness,Number of TB cases,510.8984693,475.249412,548.5652645,"510.9 (475.2, 548.6)"
2015,"[0,99]",No Shocks,Moderate to severe thinness,Number of TB cases,507.1290331,462.8108574,548.4085785,"507.1 (462.8, 548.4)"
2015,"[0,99]",No Shocks,Normal BMI,Number of TB cases,1494.018119,1388.722227,1604.351148,"1494 (1388.7, 1604.4)"
2015,"[0,99]",No Shocks,Overweight BMI,Number of TB cases,96.89278877,86.69254288,111.1376326,"96.9 (86.7, 111.1)"
2016,"[0,99]",Energy Price Shock,Mild thinness,TB incidence rate,270.4866051,251.0901334,290.7364888,"270.5 (251.1, 290.7)"
2016,"[0,99]",Energy Price Shock,Moderate to severe thinness,TB incidence rate,374.0577775,340.8104825,404.923861,"374.1 (340.8, 404.9)"
2016,"[0,99]",Energy Price Shock,Normal BMI,TB incidence rate,182.6070084,169.4176094,196.3596971,"182.6 (169.4, 196.4)"
2016,"[0,99]",Energy Price Shock,Overweight BMI,TB incidence rate,52.69047615,47.15283272,60.44654168,"52.7 (47.2, 60.4)"
2016,"[0,99]",Export and Energy Shocks,Mild thinness,TB incidence rate,270.4866051,251.0901334,290.7364888,"270.5 (251.1, 290.7)"
2016,"[0,99]",Export and Energy Shocks,Moderate to severe thinness,TB incidence rate,374.0577775,340.8104825,404.923861,"374.1 (340.8, 404.9)"
2016,"[0,99]",Export and Energy Shocks,Normal BMI,TB incidence rate,182.6070084,169.4176094,196.3596971,"182.6 (169.4, 196.4)"
2016,"[0,99]",Export and Energy Shocks,Overweight BMI,TB incidence rate,52.69047615,47.15283272,60.44654168,"52.7 (47.2, 60.4)"
2016,"[0,99]",Export Restriction Shock,Mild thinness,TB incidence rate,270.4866051,251.0901334,290.7364888,"270.5 (251.1, 290.7)"
2016,"[0,99]",Export Restriction Shock,Moderate to severe thinness,TB incidence rate,374.0577775,340.8104825,404.923861,"374.1 (340.8, 404.9)"
2016,"[0,99]",Export Restriction Shock,Normal BMI,TB incidence rate,182.6070084,169.4176094,196.3596971,"182.6 (169.4, 196.4)"
2016,"[0,99]",Export Restriction Shock,Overweight BMI,TB incidence rate,52.69047615,47.15283272,60.44654168,"52.7 (47.2, 60.4)"
2016,"[0,99]",No Shocks,Mild thinness,TB incidence rate,270.4866051,251.0901334,290.7364888,"270.5 (251.1, 290.7)"
2016,"[0,99]",No Shocks,Moderate to severe thinness,TB incidence rate,374.0577775,340.8104825,404.923861,"374.1 (340.8, 404.9)"
2016,"[0,99]",No Shocks,Normal BMI,TB incidence rate,182.6070084,169.4176094,196.3596971,"182.6 (169.4, 196.4)"
2016,"[0,99]",No Shocks,Overweight BMI,TB incidence rate,52.69047615,47.15283272,60.44654168,"52.7 (47.2, 60.4)"
2016,"[0,99]",Energy Price Shock,Mild thinness,Number of TB cases,504.8345784,468.6364436,542.6121234,"504.8 (468.6, 542.6)"
2016,"[0,99]",Energy Price Shock,Moderate to severe thinness,Number of TB cases,498.7019652,454.386579,539.8588223,"498.7 (454.4, 539.9)"
2016,"[0,99]",Energy Price Shock,Normal BMI,Number of TB cases,1484.279008,1377.08717,1596.033485,"1484.3 (1377.1, 1596)"
2016,"[0,99]",Energy Price Shock,Overweight BMI,Number of TB cases,100.6578072,90.07932299,115.4759787,"100.7 (90.1, 115.5)"
2016,"[0,99]",Export and Energy Shocks,Mild thinness,Number of TB cases,504.8345784,468.6364436,542.6121234,"504.8 (468.6, 542.6)"
2016,"[0,99]",Export and Energy Shocks,Moderate to severe thinness,Number of TB cases,498.7019652,454.386579,539.8588223,"498.7 (454.4, 539.9)"
2016,"[0,99]",Export and Energy Shocks,Normal BMI,Number of TB cases,1484.279008,1377.08717,1596.033485,"1484.3 (1377.1, 1596)"
2016,"[0,99]",Export and Energy Shocks,Overweight BMI,Number of TB cases,100.6578072,90.07932299,115.4759787,"100.7 (90.1, 115.5)"
2016,"[0,99]",Export Restriction Shock,Mild thinness,Number of TB cases,504.8345784,468.6364436,542.6121234,"504.8 (468.6, 542.6)"
2016,"[0,99]",Export Restriction Shock,Moderate to severe thinness,Number of TB cases,498.7019652,454.386579,539.8588223,"498.7 (454.4, 539.9)"
2016,"[0,99]",Export Restriction Shock,Normal BMI,Number of TB cases,1484.279008,1377.08717,1596.033485,"1484.3 (1377.1, 1596)"
2016,"[0,99]",Export Restriction Shock,Overweight BMI,Number of TB cases,100.6578072,90.07932299,115.4759787,"100.7 (90.1, 115.5)"
2016,"[0,99]",No Shocks,Mild thinness,Number of TB cases,504.8345784,468.6364436,542.6121234,"504.8 (468.6, 542.6)"
2016,"[0,99]",No Shocks,Moderate to severe thinness,Number of TB cases,498.7019652,454.386579,539.8588223,"498.7 (454.4, 539.9)"
